id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price_2023,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,last_review_date,price_2023_quant
53665546,Comfy Bedroom - with private Bathroom and Kitchen,142500682,Ruben,Bronx,Morris Park,40.85363,-73.85516,Entire home/apt,165,3,3,2023-02-15,1.3,2,179,3,,2023-02-15,0.6447125770588545
53696990,Cute and cozy studio with free parking!,50997424,Mark,Queens,Middle Village,40.71726,-73.87628,Entire home/apt,139,5,1,2022-09-16,0.17,6,365,1,,2022-09-16,0.538121081195005
53736776,Beautiful Brooklyn One-Bedroom with City Views,337477879,Kate,Brooklyn,Prospect Heights,40.6734,-73.96465,Entire home/apt,246,3,26,2023-01-20,1.79,1,0,21,,2023-01-20,0.8316560408872965
53737097,Lovely 3 bedroom rental unit with free parking,420813560,Ricardo,Queens,Arverne,40.59654,-73.79913,Entire home/apt,109,2,64,2023-02-20,4.92,2,275,58,,2023-02-20,0.3949628536803836
53666206,Sunny West Village 1 Bedroom Apartment,50002162,Connor,Manhattan,West Village,40.73295,-74.00522,Entire home/apt,205,30,6,2023-02-21,0.49,1,6,5,,2023-02-21,0.76284314242057
53737403,Luxury studio with private patio and full spa,40428881,Miles,Brooklyn,Williamsburg,40.72113,-73.95511,Entire home/apt,170,3,6,2023-02-02,0.43,1,16,5,,2023-02-02,0.6594657252753043
53699054,Welcome Home Sweet Home,434912305,Anne,Brooklyn,Canarsie,40.63188,-73.906,Entire home/apt,149,3,29,2023-01-04,1.97,1,344,25,,2023-01-04,0.5743189841403656
53699719,Gramercy Loft Style Apartment,99642772,Anna,Manhattan,Kips Bay,40.73859,-73.97964,Entire home/apt,250,5,4,2022-12-05,0.33,1,0,3,,2022-12-05,0.8493598187470361
53699744,Oversized studio w. comfy bed + art / plants,666424,Jessica,Manhattan,Financial District,40.70716,-74.01132,Entire home/apt,265,2,5,2022-12-28,0.46,1,365,5,,2022-12-28,0.8621634438063123
53700256,first floor of beautiful house totally private,223032408,Diony,Bronx,Clason Point,40.80948,-73.85002,Entire home/apt,111,2,17,2023-03-03,2.19,1,332,17,,2023-03-03,0.41092786764318456
53701060,"Great Location!  1 Queen Bed, 2-Double Bed for 4-6",434928403,Ronnie,Brooklyn,Gravesend,40.60277,-73.98132,Entire home/apt,185,3,24,2022-12-13,1.66,1,82,21,,2022-12-13,0.7025133041783024
53666929,"Brooklyn king suite, 2 bedrooms; 1 bth apt.",91122315,Liesha,Brooklyn,Bedford-Stuyvesant,40.68853,-73.937,Entire home/apt,170,2,65,2023-02-21,4.46,3,87,54,,2023-02-21,0.6594657252753043
53738991,Wonderful 2 Bedroom in the heart of Astoria,145173841,John,Queens,Astoria,40.76761,-73.92847,Entire home/apt,175,2,47,2023-02-26,3.18,1,101,42,,2023-02-26,0.6749565309025766
53701695,Tree View Sugar Hill,313614300,Daniella,Manhattan,Harlem,40.82276,-73.94332,Entire home/apt,230,30,20,2022-10-10,1.42,2,0,15,,2022-10-10,0.8106328046788556
53739963,Lovely BR w/ QueenBed + Prvt BA near Prospect Prk,435050037,Abdo,Brooklyn,Flatbush,40.65317,-73.9637,Private room,180,2,5,2022-10-30,0.51,15,303,5,,2022-10-30,0.6906054059750251
53672127,Perfect Lovely Studio With Private Bath / WiFi #82,343381111,Alberto,Manhattan,Midtown,40.74595,-73.9867,Entire home/apt,108,1,13,2023-02-12,1.74,3,257,13,,2023-02-12,0.3897465619895674
53741796,Renovated studio near Columbia University,137842078,Alexey,Manhattan,Harlem,40.82131,-73.95727,Entire home/apt,180,1,20,2023-02-12,1.35,1,6,17,,2023-02-12,0.6906054059750251
53702133,Minimal room 6 SofaBed + loft bed in Manhattan,408979935,Koichi,Manhattan,Chelsea,40.75058,-73.99634,Private room,71,3,61,2023-02-22,4.08,22,55,52,,2023-02-22,0.18230676010327204
53742245,Brooklyn vibes 1 bedroom apartment (Bushwick),435266047,Aron,Brooklyn,Bushwick,40.68682,-73.91554,Entire home/apt,165,2,73,2023-02-27,4.94,3,180,57,,2023-02-27,0.6447125770588545
53674032,****NEWLY RENOVATED 3 BDRM WITH BALCONY****,431414343,Yordanos,Brooklyn,Bushwick,40.69682,-73.92303,Entire home/apt,439,2,52,2023-01-01,3.46,3,34,40,,2023-01-01,0.9579008377680595
53674236,40% OFF Charming & Stylish Oasis + Private Parking,39553567,Yhc,Staten Island,Port Richmond,40.63006,-74.13708,Entire home/apt,219,1,57,2023-02-26,3.81,4,337,43,,2023-02-26,0.7858685916012434
53703509,Selina Chelsea NYC Standard Economy Room,342821708,Selina Chelsea,Manhattan,Chelsea,40.74846,-74.00772,Private room,218,1,7,2022-11-23,0.75,4,293,7,,2022-11-23,0.7837083091838347
